,B1_FULL_ADDRESS,Lat,Lon,DBA
15051,2519 DURANT AVE B,37.867935,-122.258021,SWEET HOUSE CAFE
15135,2156 UNIVERSITY AVE,37.872273,-122.267025,SIMPLY BOWL
2592,1930 M L KING JR WAY,37.872201,-122.2732704,CAFE NOSTOS
3,1883 SOLANO AVE,37.891454,-122.277744,NOAH'S BAGELS #2101
219,1446 UNIVERSITY AVE,37.870181,-122.283267,THE GARDEN CAFE
235,2865 SEVENTH ST,37.853301,-122.291839,MINT LEAF VIETNAMESE REST.
303,2435 DURANT AVE,37.867636,-122.260343,CUPCAKIN BAKE SHOP LLC
393,2055 CENTER ST,37.870135,-122.269344,TAMON TEA
562,1701 SAN PABLO AVE,37.873455,-122.293465,JERRY'S JAVA JOASIS
709,3075 ADELINE ST 190,37.853264,-122.269525,ADA'S CAFE
903,2911 COLLEGE AVE,37.858251,-122.253169,YOGOFINA-ALAMEDA
960,1938 SHATTUCK AVE,37.873073,-122.268549,THE SANDWICH COMPANY
1129,1955 SAN PABLO AVE,37.869706,-122.292258,EVERETT & JONES BBQ
1164,2979 COLLEGE AVE,37.856541,-122.253,THE HE EMPIRE
1244,2130 CENTER ST 102,37.870437,-122.267124,BEN & JERRY'S BERKELEY
1257,1106 UNIVERSITY AVE,37.869086,-122.291881,LA CAPILLA
1334,2020 OREGON ST,37.857549,-122.26746,B-DAMA
1741,2173 ALLSTON WAY,37.869609,-122.266335,SUMO ROLL
1932,1504 SHATTUCK AVE,37.880147,-122.26935,CHEESE BOARD SOUTH
2086,2125 UNIVERSITY AVE,37.87232,-122.267358,SAN FRANCISCO CREPE CO
2374,1160 UNIVERSITY AVE,37.869259,-122.290457,SAN FRANCISCO CREPE CO
2446,2940 SEVENTH ST,37.851758,-122.291324,KATHLEEN DEWILBUR
2580,3170 COLLEGE AVE,37.851462,-122.252496,NOAH'S NEW YORK BAGELS #2110
2616,2600 SHATTUCK AVE,37.861677,-122.26716,EARTHBAR
2734,3278 ADELINE ST,37.849038,-122.271403,XING LLC DBA GIIN THAI CANTEEN
2754,2136 OXFORD ST,37.870271,-122.265921,THE SUNNY SIDE CAFE
3023,2708 RUSSELL ST,37.85853,-122.252457,NABOLOM BAKERY
3094,3012 DEAKIN ST A,37.855335,-122.2624,BABS'S VIENNESE TREATS
3106,1444 SHATTUCK AVE,37.881015,-122.269494,AFC SUSHI @ SAFEWAY #691
3443,1280 GILMAN ST,37.8815,-122.290261,BRAZIL CAFE AT WESTBRAE BIERGARTEN
3551,2020 KITTREDGE ST C,37.868356,-122.268904,MAISON BLEUE
3775,2358 SHATTUCK AVE,37.866558,-122.267729,EXTREME PIZZA
3778,2509 HEARST AVE,37.875135,-122.259764,SUBWAY SANDWICHES & SALADS  #50144
