,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
1526,GUN/WEAPON,WEAPONS OFFENSE,800 UNIVERSITY AVE,37.867723,-122.298406
294,IDENTITY THEFT,FRAUD,2700 FULTON ST,37.860551,-122.264511
3134,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1700 FOURTH ST,37.871268,-122.30106
5008,BURGLARY AUTO,BURGLARY - VEHICLE,100 BERKELEY SQ,37.871171,-122.267718
81,2ND RESPONSE,NOISE VIOLATION,2400 HILLSIDE AVE,37.867373,-122.249515
2336,DOMESTIC VIOLENCE,FAMILY OFFENSE,2100 DERBY ST,37.860366,-122.266802
3005,NARCOTICS,DRUG VIOLATION,2100 ALLSTON WAY,37.86939,-122.267883
4532,VEHICLE STOLEN,MOTOR VEHICLE THEFT,500 WOODMONT AVE,37.904331,-122.269512
780,ASSAULT/BATTERY MISD.,ASSAULT,COLLEGE AVENUE & PARKER ST,37.863938,-122.253735
2456,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1900 SEVENTH ST,37.869318,-122.296984
3025,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,37.866981,-122.302083
1914,THEFT FROM PERSON,LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
4245,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2900 AVALON AVE,37.859852,-122.24929
2439,NARCOTICS,DRUG VIOLATION,MILVIA STREET & BANCROFT WAY,37.867291,-122.270245
200,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,37.866981,-122.302083
4449,DISTURBANCE,DISORDERLY CONDUCT,MILVIA STREET & BERKELEY WAY,37.872691,-122.270741
1249,VANDALISM,VANDALISM,2100 KITTREDGE ST,37.868512,-122.26781
4179,THEFT FELONY (OVER $950),LARCENY,2400 RUSSELL ST,37.857674,-122.259434
4363,THEFT MISD. (UNDER $950),LARCENY,2907 MARTIN LUTHER KING JR WAY 1/2,37.855784,-122.271255
1102,VANDALISM,VANDALISM,2300 ROSE ST,37.883009,-122.265094
262,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,37.866981,-122.302083
2600,BURGLARY AUTO,BURGLARY - VEHICLE,2450 DURANT AVE,37.867668,-122.260109
243,NARCOTICS,DRUG VIOLATION,1400 UNIVERSITY AVE,37.870054,-122.284263
4638,ROBBERY,ROBBERY,1000 GILMAN ST,37.88015,-122.297446
